,subject,subjectId,title,G,GS,MIN,TS%,eFG%,FTRate,OR%,DR%,AST%,TO%,STL%,BLK%,Usg%,+/-,PPP,position,PTS,2P%,%2P,FGM,FGA,FGM-A,FG%,3PM,3PA,3PM-A,3P-R,2PM,2PA,2PM-A,FTM,FTA,FTM-A,ORB,DRB,REB,AST,TO,3P%,%3P,STL,FT%,player_id,Spot-Up_count,Spot-Up_percent,Spot-Up_ppp,Cut_count,Cut_percent,Cut_ppp,Transition_count,Transition_percent,Transition_ppp,P&R Roll Man_count,P&R Roll Man_percent,P&R Roll Man_ppp,Off Screen_count,Off Screen_percent,Off Screen_ppp,Hand Off_count,Hand Off_percent,Hand Off_ppp,P&R Ball Handler_count,P&R Ball Handler_percent,P&R Ball Handler_ppp,Offensive Rebound_count,Offensive Rebound_percent,Offensive Rebound_ppp,ISO_count,ISO_percent,ISO_ppp,No Play Type_count,No Play Type_percent,No Play Type_ppp
0,player,4oX88eVaTAmgZ7_gCdnu3A,,4,0,5.36667,26.6,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,-2.5,0.53,F,0.5,0.0,100.0,0.0,0.5,0.0-0.5,0.0,0.0,0.0,0.0-0.0,,0.0,0.5,0.0-0.5,0.5,1.0,0.5-1.0,,,,0.0,0.0,,0.0,0.0,50.0,4oX88eVaTAmgZ7_gCdnu3A,6.0,37.5,1.0,4.0,25.0,0.0,4.0,25.0,0.5,2.0,12.5,2.0,,,,,,,,,,,,,,,,,,
1,player,uCml8KVhTjqnXxJ4eQbQHw,,13,0,25.50385,55.4,52.0,14.8,2.8,11.2,11.4,13.9,1.6,1.2,19.3,0.9,0.95,G,11.6,53.5,33.6,4.0,9.8,4.0-9.8,40.6,2.2,6.5,2.2-6.5,,1.8,3.3,1.8-3.3,1.4,1.5,1.4-1.5,,,,2.2,1.7,34.1,66.4,0.9,94.7,uCml8KVhTjqnXxJ4eQbQHw,40.0,25.477707006369428,0.925,2.0,1.2738853503184715,1.0,39.0,24.840764331210192,1.205128205128205,15.0,9.554140127388536,1.8666666666666667,22.0,14.012738853503185,0.9090909090909091,17.0,10.828025477707007,0.8823529411764706,12.0,7.643312101910828,1.4166666666666667,5.0,3.1847133757961785,0.4,2.0,1.2738853503184715,0.0,2.0,1.2738853503184715,2.0
2,player,KArLsgpHS72r7EJXdi0BjA,,10,0,12.36333,48.3,42.6,38.3,4.1,13.6,18.1,12.7,1.1,1.5,20.4,-2.3,0.84,G,5.3,50.0,59.6,1.8,4.7,1.8-4.7,38.3,0.4,1.9,0.4-1.9,,1.4,2.8,1.4-2.8,1.3,1.8,1.3-1.8,,,,1.7,0.8,21.1,40.4,0.3,72.2,KArLsgpHS72r7EJXdi0BjA,16.0,28.57142857142857,0.9375,3.0,5.357142857142857,1.0,13.0,23.214285714285715,1.0769230769230769,,,,,,,7.0,12.5,1.0,13.0,23.214285714285715,1.0769230769230769,1.0,1.7857142857142856,0.0,2.0,3.571428571428571,0.0,1.0,1.7857142857142856,0.0
3,player,ge8LpyPhQ3mtACY_jUBTuQ,,28,28,22.96429,58.4,58.1,24.9,16.5,27.1,8.1,8.7,1.2,4.4,16.7,0.2,1.07,C,10.0,58.1,100.0,4.5,7.8,4.5-7.8,58.1,0.0,0.0,0.0-0.0,,4.5,7.8,4.5-7.8,1.0,1.9,1.0-1.9,,,,1.3,0.8,,0.0,0.6,53.7,ge8LpyPhQ3mtACY_jUBTuQ,,,,84.0,28.668941979522184,1.2023809523809523,42.0,14.334470989761092,1.4761904761904763,77.0,26.27986348122867,1.3506493506493507,,,,,,,,,,70.0,23.890784982935152,0.8857142857142857,,,,7.0,2.3890784982935154,1.0
4,player,LINdESi3ROeZoiXVuG7Myw,,52,52,33.72949,50.3,49.2,12.9,5.2,10.9,13.7,12.5,3.9,2.5,17.8,-2.8,0.88,G,13.0,51.4,69.2,5.5,12.2,5.5-12.2,44.7,1.1,3.8,1.1-3.8,,4.3,8.5,4.3-8.5,1.0,1.6,1.0-1.6,,,,3.3,1.8,29.6,30.8,2.9,61.0,LINdESi3ROeZoiXVuG7Myw,226.0,27.163461538461537,0.8849557522123894,86.0,10.336538461538462,1.0930232558139534,192.0,23.076923076923077,1.3229166666666667,64.0,7.6923076923076925,1.03125,26.0,3.125,0.7692307692307693,40.0,4.807692307692308,1.15,86.0,10.336538461538462,0.9302325581395349,52.0,6.25,1.0,28.0,3.3653846153846154,0.8571428571428571,28.0,3.3653846153846154,0.6428571428571429
5,player,8ZUD8YIMRnq3gVNIdkgUjw,,2,0,5.7,25.0,25.0,0.0,0.0,18.9,0.0,20.0,0.0,0.0,17.7,-0.5,0.4,F,1.0,50.0,50.0,0.5,2.0,0.5-2.0,25.0,0.0,1.0,0.0-1.0,,0.5,1.0,0.5-1.0,0.0,0.0,0.0-0.0,,,,0.0,0.5,0.0,50.0,0.0,,8ZUD8YIMRnq3gVNIdkgUjw,1.0,25.0,0.0,2.0,50.0,1.0,1.0,25.0,0.0,,,,,,,,,,,,,,,,,,,,,
6,player,oUXs3Uc6Q9-TF48Zk3ETBQ,,17,2,28.43529,63.3,58.2,32.8,2.3,12.7,6.9,7.7,1.2,0.4,24.1,0.9,1.17,F-G,19.8,50.0,54.3,6.5,13.6,6.5-13.6,47.8,2.8,6.2,2.8-6.2,,3.7,7.4,3.7-7.4,3.9,4.5,3.9-4.5,,,,1.3,1.3,45.3,45.7,0.8,86.8,oUXs3Uc6Q9-TF48Zk3ETBQ,93.0,23.076923076923077,1.2903225806451613,25.0,6.20347394540943,1.32,97.0,24.069478908188586,1.3814432989690721,26.0,6.451612903225806,1.1923076923076923,22.0,5.459057071960298,1.2272727272727273,45.0,11.166253101736972,1.3333333333333333,32.0,7.94044665012407,1.125,8.0,1.9851116625310175,1.125,18.0,4.466501240694789,0.9444444444444444,18.0,4.466501240694789,1.2222222222222223
7,player,QGex2OHUT8aWPJE0rpWnKA,,26,26,36.72436,57.6,54.9,22.5,4.8,24.4,21.8,16.0,1.7,3.0,22.5,1.3,0.97,F,19.7,56.4,71.9,7.8,15.6,7.8-15.6,50.1,1.5,4.4,1.5-4.4,,6.3,11.2,6.3-11.2,2.6,3.5,2.6-3.5,,,,5.4,3.3,34.2,28.1,1.4,74.7,QGex2OHUT8aWPJE0rpWnKA,143.0,26.383763837638373,0.993006993006993,39.0,7.195571955719557,1.3076923076923077,117.0,21.58671586715867,1.4957264957264957,53.0,9.778597785977858,1.1320754716981132,4.0,0.7380073800738007,0.75,29.0,5.350553505535055,1.0344827586206897,70.0,12.915129151291513,1.042857142857143,37.0,6.826568265682657,1.2972972972972974,12.0,2.214022140221402,0.8333333333333334,18.0,3.3210332103321036,1.3888888888888888
8,player,UlqBXI3QTmq3lTkJV5bPjw,,14,0,11.78333,38.4,35.9,23.1,4.4,11.6,15.8,17.3,1.9,2.3,12.8,-1.1,0.64,G,2.4,44.4,46.2,0.9,2.8,0.9-2.8,30.8,0.3,1.5,0.3-1.5,,0.6,1.3,0.6-1.3,0.4,0.6,0.4-0.6,,,,1.4,0.6,19.0,53.8,0.5,55.6,UlqBXI3QTmq3lTkJV5bPjw,31.0,33.69565217391305,1.064516129032258,7.0,7.608695652173914,0.5714285714285714,16.0,17.391304347826086,0.875,6.0,6.521739130434782,1.0,4.0,4.3478260869565215,0.5,7.0,7.608695652173914,1.1428571428571428,14.0,15.217391304347828,1.2857142857142858,4.0,4.3478260869565215,1.0,,,,3.0,3.260869565217391,1.6666666666666667
9,player,32kZzWf8QhCCaVwWdgLazg,,19,1,18.07719,66.1,62.1,31.3,0.9,5.8,10.5,8.2,1.7,0.8,14.5,-3.6,1.22,G,7.8,37.5,16.2,2.3,5.2,2.3-5.2,43.4,1.9,4.4,1.9-4.4,,0.3,0.8,0.3-0.8,1.4,1.6,1.4-1.6,,,,1.4,0.5,44.6,83.8,0.7,83.9,32kZzWf8QhCCaVwWdgLazg,82.0,43.15789473684211,1.4634146341463414,3.0,1.5789473684210527,1.3333333333333333,53.0,27.89473684210526,1.4528301886792452,8.0,4.2105263157894735,0.625,16.0,8.421052631578947,1.0625,15.0,7.894736842105263,1.1333333333333333,8.0,4.2105263157894735,0.375,4.0,2.1052631578947367,0.5,,,,1.0,0.5263157894736842,0.0
